id,institutionCode,catalogNumber,recordedBy,year,month,day,decimalLatitude,decimalLongitude,Personal ID status,,,,,,,
12859277,iNaturalist,72247035,Janet Wright,2021,3,0,31.18734167,-86.69718056,n/a,,,,0,,yes,456
13667625,iNat,57649805,Jonathan F. Noel,1999,3,1,38.62854261,-86.05296046,maybe,,,,730,,no,83
13598860,iNat,150258841,Jeff Perry,2023,3,4,33.77485,-84.323845,no,,,,,,maybe,166
13598891,iNat,150367452,Shelby Doolin,2023,3,5,33.70962833,-84.78424167,no,,,,,,n/a,23
13598901,iNat,150411543,Harrison Baucom,2023,3,6,33.88842586,-84.44419123,no,,,,,,,
13598939,iNat,150587521,Thomas Cole,2023,3,8,33.95386192,-84.49314731,no,,,,,,,728
13610037,iNat,201849482,mpearlstein,2024,3,9,33.90414276,-84.24669172,yes,,,,,,,
8064371,MUOB,MUOB 167841,Quallshb,2014,3,9,35.2094,-88.1811,yes,,,,,,,
13599736,iNat,154408299,imagine gnat,2023,3,10,34.07416911,-84.541811,maybe,,,,,,,
13888208,iNat,39949892,John Kees,2020,3,12,31.51555707,-90.25498601,maybe,,,,,,,
13610247,iNat,202358465,karenakosco,2024,3,13,32.45769167,-83.743225,maybe,,,,,,,
13610436,iNat,203195852,karenakosco,2024,3,13,32.45770333,-83.74323333,maybe,,,,,,,
12377490,iNaturalist,29178297,Anthoni,2019,3,13,33.4712,-86.79795,n/a,,,,,,,
13610323,iNat,202604026,Steven IGAS Landseadel,2024,3,13,32.93281113,-85.11500969,no,,,,,,,
13610226,iNat,202338522,Melissa Moody,2024,3,13,33.67487139,-84.9459433,yes,,,,,,,
8184091,MUOB,MUOB 361494,AlabamaMushroomSociety,2019,3,13,33.4712,-86.798,yes,,,,,,,
12850728,iNat,71324803,katrina hashagen,2021,3,14,30.94613671,-91.26924324,maybe,,,,,,,
13890210,iNat,151134938,Kyle Morgan,2023,3,14,33.6493631,-89.77550531,maybe,,,,,,,
13599159,iNat,151246324,Jesse P. Karlsberg,2023,3,15,33.77218833,-84.319245,maybe,,,,,,,
13610319,iNat,202602915,Christine Braaten,2024,3,15,33.19348175,-84.14800331,yes,,,,,,,
13610343,iNat,202685661,sjudah25,2024,3,16,33.3910366,-84.69548921,no,,,,,,,
13610365,iNat,202751874,t0ad_kochab,2024,3,16,33.27806685,-83.92890522,yes,,,,,,,
13610456,iNat,203270630,Steven IGAS Landseadel,2024,3,17,33.07065344,-83.40183075,maybe,,,,,,,
14313333,iNat,202865362,mmasell,2024,3,17,35.05773934,-89.272471,yes,,,,,,,
13599345,iNat,151965117,Heatherelle,2023,3,18,33.99408452,-83.49485734,maybe,,,,,,,
10513558,NCU,NCU-F-0031602,"Bryan, Corbin T.",2020,3,18,35.924263,-79.046433,mybe,,,,,,,
13599224,iNat,151535040,squelly,2023,3,18,34.70955,-85.37580833,yes,,,,,,,
13891565,iNat,203008178,Logan Wiedenfeld,2024,3,18,31.89042245,-91.02539917,yes,,,,,,,
13582111,iNat,21984959,Johnny,2019,3,19,33.21567222,-83.410325,maybe,,,,,,,
13610422,iNat,203154412,Lauren Giles,2024,3,19,33.84611167,-84.44948667,maybe,,,,,,,
14306841,iNat,151613686,Hayden Johnson,2023,3,19,35.12502783,-89.84661167,no,,,,,,,
14285507,iNat,151645670,Leo,2023,3,19,34.92320864,-82.38563206,yes,,,,,,,
14075517,iNat,238714886,Jeff Guillemette,2023,3,19,35.208433,-80.84628043,yes,,,,,,,
13888859,iNat,111743700,Brian Williams,2021,3,20,33.35005905,-88.88561663,maybe,,,,,,,
13599281,iNat,151767943,Devin Duncan,2023,3,20,33.86095997,-83.926612,no,,,,,,,
13610441,iNat,203255615,wildlifewanderer,2024,3,20,32.86865669,-83.75968019,no,,,,,,,
13610493,iNat,203286127,Odile V,2024,3,20,33.99096658,-83.65427237,no,,,,,,,
13610494,iNat,203287049,Odile V,2024,3,20,33.81218505,-83.60231116,no,,,,,,,
13581028,iNat,10360376,Alex Terry,2018,3,20,33.8042519,-84.40130139,yes,,,,,,,
14068779,iNat,203292703,panopuszko,2024,3,20,35.25493333,-81.07884167,yes,,,,,,,
14038606,iNat,40374498,melissaphill,2020,3,21,35.73945608,-78.82765942,maybe,,,,,,,
14313367,iNat,203415999,nizar,2024,3,21,35.14777395,-89.98752988,yes,,,,,,,
14313368,iNat,203416077,nizar,2024,3,21,35.14768972,-89.98798762,yes,,,,,,,
13610533,iNat,203528889,Steven IGAS Landseadel,2024,3,22,33.09043888,-83.47083464,maybe,,,,,,,
