Model,Mean_AUC_ratio,pval_pROC,Omission_rate_at_5%,AICc,delta_AICc,W_AICc,num_parameters
M_0.1_F_l_Set_1,1.761776545,0,0.095238095,2726.51441,46.53091996,7.79E-14,21
M_0.1_F_l_Set_2,1.674990474,0,0.142857143,2745.432207,65.44871725,6.08E-18,12
M_0.1_F_l_Set_3,1.712417741,0,0.090909091,2793.95222,113.9687299,1.77E-28,11
M_0.1_F_q_Set_1,1.788297757,0,0.095238095,2698.22107,18.23758035,1.09E-07,21
M_0.1_F_q_Set_2,1.772036714,0,0.142857143,2683.04196,3.058470521,0.000215362,13
M_0.1_F_q_Set_3,1.731317859,0,0.090909091,2795.93194,115.9484506,6.60E-29,11
M_0.1_F_p_Set_1,1.82050389,0,0.142857143,4076.165107,1396.181617,6.63E-307,109
M_0.1_F_p_Set_2,1.786987679,0,0.19047619,2827.719291,147.7358012,8.28E-36,54
M_0.1_F_p_Set_3,1.757373542,0,0.090909091,2860.167021,180.1835317,7.46E-43,45
M_0.1_F_t_Set_1,1.879128628,0,1,NA,NA,NA,258
M_0.1_F_t_Set_2,1.925183329,0,0.80952381,NA,NA,NA,206
M_0.1_F_t_Set_3,1.894901659,0,0.909090909,NA,NA,NA,190
M_0.1_F_h_Set_1,1.856929208,0,0.333333333,NA,NA,NA,231
M_0.1_F_h_Set_2,1.817285266,0,0.19047619,NA,NA,NA,179
M_0.1_F_h_Set_3,1.838594516,0,0.318181818,NA,NA,NA,162
M_0.1_F_lq_Set_1,1.819559992,0,0.047619048,2746.639555,66.6560652,3.35E-18,37
M_0.1_F_lq_Set_2,1.783324762,0,0.142857143,2720.429472,40.44598263,1.65E-12,24
M_0.1_F_lq_Set_3,1.771581689,0,0.136363636,2790.62663,110.6431403,9.43E-28,21
M_0.1_F_lp_Set_1,1.808479255,0,0.095238095,3975.956644,1295.973154,3.84E-285,108
M_0.1_F_lp_Set_2,1.766592156,0,0.19047619,2847.300211,167.3167209,4.66E-40,58
M_0.1_F_lp_Set_3,1.751934956,0,0.090909091,2864.718341,184.7348516,7.71E-44,47
M_0.1_F_lt_Set_1,1.881380927,0,1,NA,NA,NA,258
M_0.1_F_lt_Set_2,1.92600103,0,0.80952381,NA,NA,NA,206
M_0.1_F_lt_Set_3,1.894672799,0,0.909090909,NA,NA,NA,190
M_0.1_F_lh_Set_1,1.856678053,0,0.333333333,NA,NA,NA,231
M_0.1_F_lh_Set_2,1.815592113,0,0.19047619,NA,NA,NA,179
M_0.1_F_lh_Set_3,1.762417973,0,0.318181818,NA,NA,NA,163
M_0.1_F_qp_Set_1,1.823036385,0,0.095238095,3699.992365,1020.008875,3.24E-225,103
M_0.1_F_qp_Set_2,1.778562946,0,0.19047619,2770.105501,90.12201102,2.71E-23,50
M_0.1_F_qp_Set_3,1.753502096,0,0.136363636,2865.588687,185.6051971,5.00E-44,49
M_0.1_F_qt_Set_1,1.876713722,0,1,NA,NA,NA,258
M_0.1_F_qt_Set_2,1.924762167,0,0.80952381,NA,NA,NA,206
M_0.1_F_qt_Set_3,1.895122642,0,0.909090909,NA,NA,NA,190
M_0.1_F_qh_Set_1,1.84928893,0,0.333333333,NA,NA,NA,231
M_0.1_F_qh_Set_2,1.809268829,0,0.19047619,NA,NA,NA,171
M_0.1_F_qh_Set_3,1.839244749,0,0.318181818,NA,NA,NA,162
M_0.1_F_pt_Set_1,1.958250279,0,1,NA,NA,NA,254
M_0.1_F_pt_Set_2,1.910280535,0,0.857142857,NA,NA,NA,206
M_0.1_F_pt_Set_3,1.895754467,0,0.909090909,NA,NA,NA,190
M_0.1_F_ph_Set_1,1.858110407,0,0.333333333,NA,NA,NA,234
M_0.1_F_ph_Set_2,1.827109692,0,0.285714286,NA,NA,NA,159
M_0.1_F_ph_Set_3,1.830290154,0,0.318181818,NA,NA,NA,178
M_0.1_F_th_Set_1,1.95471544,0,1,NA,NA,NA,261
M_0.1_F_th_Set_2,1.920044427,0,0.857142857,NA,NA,NA,218
M_0.1_F_th_Set_3,1.815995418,0,0.909090909,NA,NA,NA,206
M_0.1_F_lqp_Set_1,1.794568771,0,0.047619048,4091.160926,1411.177436,3.71626449763527e-310,109
M_0.1_F_lqp_Set_2,1.814064931,0,0.142857143,2821.746702,141.7632124,1.66E-34,58
M_0.1_F_lqp_Set_3,1.771415919,0,0.181818182,2908.211598,228.2281082,2.79E-53,57
M_0.1_F_lqt_Set_1,1.878592302,0,1,NA,NA,NA,258
M_0.1_F_lqt_Set_2,1.924471596,0,0.80952381,NA,NA,NA,206
