SPEC,LONG,LAT,Sequenced
Morchella diminutiva,-78.00994886,39.02339995,
Morchella diminutiva,-85.29671197,41.01000545,yes
Morchella diminutiva,-77.25437167,39.015885,
Morchella diminutiva,-78.71923,35.69728333,
Morchella diminutiva,-86.01529819,39.37952017,yes
Morchella diminutiva,-79.70074267,40.75785025,
Morchella diminutiva,-71.55312682,42.1944942,
Morchella diminutiva,-76.65564493,39.17147955,
Morchella diminutiva,-85.93528056,40.70273802,
Morchella diminutiva,-87.29010438,39.8629028,yes
Morchella diminutiva,-78.00137841,37.99180173,
Morchella diminutiva,-82.0738219,35.24719738,
Morchella diminutiva,-85.40293112,36.46558082,
Morchella diminutiva,-85.34809358,37.38883642,
Morchella diminutiva,-75.50913833,40.54361667,
Morchella diminutiva,-86.65311192,35.96755021,
Morchella diminutiva,-84.29187833,34.14196667,
Morchella diminutiva,-88.67037434,37.4015344,
Morchella diminutiva,-80.87661167,36.49932167,
Morchella diminutiva,-78.80126669,42.11332796,
Morchella diminutiva,-82.348927,34.393524,
Morchella diminutiva,-77.43604817,37.54070615,
Morchella diminutiva,-82.62622871,38.46012081,
Morchella diminutiva,-82.35043701,36.57612441,
Morchella diminutiva,-83.29695157,37.46965557,
Morchella diminutiva,-83.22457996,39.8638567,
Morchella diminutiva,-79.70875044,36.39277417,
Morchella diminutiva,-91.61554134,38.44461502,
Morchella diminutiva,-75.78444837,39.8281856,
Morchella diminutiva,-86.3800122,41.6933798,
Morchella diminutiva,-79.27294167,40.160775,
Morchella diminutiva,-72.23468967,41.78716403,
Morchella diminutiva,-81.1334,37.90741667,
Morchella diminutiva,-81.59756313,41.39063567,
Morchella diminutiva,-76.82077355,38.68782046,
Morchella diminutiva,-73.96889721,40.6619915,
Morchella diminutiva,-80.63149901,41.93790339,
Morchella diminutiva,-87.0623362,41.42679202,
Morchella diminutiva,-85.37580833,34.70955,
Morchella diminutiva,-80.07039632,35.18908189,
Morchella diminutiva,-84.7866488,37.9640496,
Morchella diminutiva,-76.44821167,37.779495,
Morchella diminutiva,-81.73525667,35.62432333,
Morchella diminutiva,-78.92769623,36.26327515,
Morchella diminutiva,-82.54757073,37.46869161,
Morchella diminutiva,-85.65770721,37.91836548,
